image_id,attempt_number,started_at_utc,completed_at_utc,duration_ms,success,retry_delay_s,error,server_result
sunnybot-01_p2-09_000075,1,2026-08-04T23:55:32.011Z,2026-08-04T23:55:32.095Z,83.983,True,0.0,,stored
sunnybot-01_p2-09_000076,1,2026-08-04T23:55:32.096Z,2026-08-04T23:55:32.158Z,62.658,True,0.0,,stored
sunnybot-01_p2-09_000077,1,2026-08-04T23:55:32.159Z,2026-08-04T23:55:32.256Z,96.627,True,0.0,,stored
sunnybot-01_p2-09_000078,1,2026-08-04T23:55:32.256Z,2026-08-04T23:55:32.346Z,89.92,True,0.0,,stored
sunnybot-01_p2-09_000079,1,2026-08-04T23:55:32.347Z,2026-08-04T23:55:32.405Z,57.945,True,0.0,,stored
sunnybot-01_p2-09_000080,1,2026-08-04T23:55:32.405Z,2026-08-04T23:55:32.449Z,44.279,True,0.0,,stored
sunnybot-01_p2-09_000081,1,2026-08-04T23:55:32.450Z,2026-08-04T23:55:32.503Z,52.935,True,0.0,,stored
sunnybot-01_p2-09_000082,1,2026-08-04T23:55:32.504Z,2026-08-04T23:55:32.553Z,49.382,True,0.0,,stored
sunnybot-01_p2-09_000083,1,2026-08-04T23:55:32.554Z,2026-08-04T23:55:32.618Z,63.861,True,0.0,,stored
sunnybot-01_p2-09_000084,1,2026-08-04T23:55:32.618Z,2026-08-04T23:55:32.695Z,77.349,True,0.0,,stored
sunnybot-01_p2-09_000085,1,2026-08-04T23:55:32.696Z,2026-08-04T23:55:32.764Z,67.92,True,0.0,,stored
sunnybot-01_p2-09_000086,1,2026-08-04T23:55:32.764Z,2026-08-04T23:55:32.856Z,91.549,True,0.0,,stored
sunnybot-01_p2-09_000087,1,2026-08-04T23:55:32.857Z,2026-08-04T23:55:32.904Z,47.301,True,0.0,,stored
sunnybot-01_p2-09_000088,1,2026-08-04T23:55:32.905Z,2026-08-04T23:55:32.961Z,56.347,True,0.0,,stored
sunnybot-01_p2-09_000089,1,2026-08-04T23:55:32.962Z,2026-08-04T23:55:33.023Z,61.123,True,0.0,,stored
sunnybot-01_p2-09_000090,1,2026-08-04T23:55:33.024Z,2026-08-04T23:55:33.071Z,47.371,True,0.0,,stored
sunnybot-01_p2-09_000091,1,2026-08-04T23:55:33.072Z,2026-08-04T23:55:33.139Z,66.812,True,0.0,,stored
sunnybot-01_p2-09_000092,1,2026-08-04T23:55:33.140Z,2026-08-04T23:55:33.222Z,81.79,True,0.0,,stored
sunnybot-01_p2-09_000093,1,2026-08-04T23:55:33.222Z,2026-08-04T23:55:33.316Z,93.877,True,0.0,,stored
sunnybot-01_p2-09_000094,1,2026-08-04T23:55:33.317Z,2026-08-04T23:55:33.430Z,112.728,True,0.0,,stored
sunnybot-01_p2-09_000095,1,2026-08-04T23:55:33.430Z,2026-08-04T23:55:33.538Z,108.035,True,0.0,,stored
sunnybot-01_p2-09_000096,1,2026-08-04T23:55:33.539Z,2026-08-04T23:55:33.617Z,78.394,True,0.0,,stored
sunnybot-01_p2-09_000097,1,2026-08-04T23:55:33.618Z,2026-08-04T23:55:33.716Z,98.602,True,0.0,,stored
sunnybot-01_p2-09_000098,1,2026-08-04T23:55:33.717Z,2026-08-04T23:55:33.781Z,63.933,True,0.0,,stored
sunnybot-01_p2-09_000099,1,2026-08-04T23:55:33.781Z,2026-08-04T23:55:33.861Z,79.77,True,0.0,,stored
sunnybot-01_p2-09_000100,1,2026-08-04T23:55:33.862Z,2026-08-04T23:55:33.924Z,62.114,True,0.0,,stored
